Delete,Missing
Alabama,Alma
Abilene Christian,Amherst
Alderson Broaddus,Anderson
Auburn,Augsburg
Assumption,Bates
West Ala.,Belhaven
Tulane,Birmingham-Southern
Benedict,Bluffton
South Carolina State,Bowdoin
Buffalo,Bridgewater State
Edinboro,Capital
Bowie State,Carleton
Okla. Baptist,Carnegie Mellon
Central Conn. St.,Carthage
Colorado,Case Western Reserve
Charlotte,Central
Western Caro.,Chapman
NC Central,Chicago
Chowan,Claremont-Mudd-Scripps
Chattanooga,Colby
Concordia-St. Paul,Concordia (Wis.)
Cal Poly,Concordia-Moorhead
Concordia Ann Arbor,Cornell
Central Mich.,Crown
Northern Colo.,Dean
Brown,Defiance
Drake,Denison
Michigan Tech,Gallaudet
Delaware,Geneva
San Diego,George Fox
Duquesne,Greenville
Fort Lauderdale,Grinnell
New Haven,Grove City
Air Force,Gustavus Adolphus
Olivet Nazarene,Hamilton
Bowling Green,Hanover
Georgia St.,Hartwick
Ashland,Hilbert
Hampton,Hope
Lock Haven,Husson
Hawaii,Illinois College
Grambling State,Ithaca
Upper Iowa,Juniata
Houston,Kalamazoo
Indiana Wesleyan,Kean
Utah,Kenyon
Austin Peay,Knox
Oklahoma,La Verne
Ky. Wesleyan,Lakeland
Lyon,Lawrence
Keiser,Luther
Kutztown,Macalester
Warner,Manchester
Faulkner,Marietta
Lawrence Tech,Mass-Dartmouth
Southern,Middlebury
Marist,Millikin
Eastern Mich.,Monmouth
Dartmouth,Montclair State
Southeast Missouri,Morrisville State
Florida Memorial,Mount Union
Middle Tenn.,Nichols
Morningside,North Park
Monmouth,Plymouth State
Alcorn State,Pomona-Pitzer
Missouri State,Randolph-Macon
Minot St.,Redlands
Nicholls,Southern Virginia
North Dakota,St. John Fisher
Pace,St. Norbert
South Alabama,St. Olaf
Arizona State,St. Vincent
PRIN,Trine
Rhode Island,Trinity (Conn.)
Richmond,Tufts
Samford,UW-Oshkosh
Sam Houston,UW-Stevens Point
Midwestern State,UW-Stout
Georgia Southern,University of New England
Southern Illinois,WPI
Johnson C. Smith,Wabash
St. Ambrose,Wartburg
Ball St.,Washington U.
Apprentice,Wesleyan
Tiffin,Western Connecticut
Coastal Carolina,Westminster (Mo.)
Tuskegee,Westminster (Pa.)
Ohio,Wheaton (Ill.)
Shorter University,Whittier
Southern Utah,
Cincinnati,
UIW,
Washburn,
Pittsburg State,
Washington,
West Georgia,
Washington St.,
Western Colo.,
Missouri Western,
West Virginia,
Webber International,
West Chester,
Miles,
William & Mary,
Sacramento State,
